n12913851,业务员代刷7.79亿元保费 南山人寿遭重罚
n12921566,陈时中：离社区感染很近  围堵诺富特是关键
n12921003,隔离期遭骇客诈骗 黄秋生叹：我老人家容易被骗
n12921652,政院公布三接再外推455公尺 苏揆：政府最大诚意
n12921428,诺富特群聚足迹扩及双北 北市府：暂不提升防疫层级
n12920471,【拍案惊奇】防务漏洞？陆男乘皮艇一路进台湾
n12921424,交通建设 王国材：国1彰化段将增为4线道
n12921417,批中天染红再挨告 周玉蔻：据实评论不违媒体天职
n12921441,太鲁阁号美籍罹难者家属公开信 吁追台铁法律责任
n12921522,陆男驾军规橡皮艇偷渡来台 专家：绝非巧合
n12921525,中共军机舰频扰台 台国军：擦枪走火概率升高
n12921528,中共打压港媒体 台文化部长：文化暴政不会长久
n12922804,获2020马侃奖  蔡英文：全台湾人民的荣耀
n12854717,【时事军事】美台海警联手 撕开中共灰色伪装
n12856909,台湾太鲁阁号事故 捐款账户更正为2个
n12857056,哀台铁出轨 日本网友：台湾有难 一定要帮忙
n12857049,台湾阿里山樱花季 清明连假游客涌入
n12857263,闻台铁事故 阿妹揪心落泪 林志玲贴文集气
n12857353,台铁事故 日籍客忆当下已做丧命心理准备
n12857335,台铁事故工程车司机撤保重裁 声泪俱下道歉
n12857314,心系台铁事故 詹雅雯拖病体捐百万盼尽点心
n12856710,【探索时分】爱国者导弹来台 台湾防导三利器
n12857264,【疫情4.4】全球至少1.3亿人确诊染疫
n12857974,太鲁阁号事故遇难人数 检方修正为50人
n12858515,十公斤纯金雕苦瓜一生 台湾大师作品赴美展出
n12858471,忧台湾成下个香港 美议员吁拜登联合盟友护台
n12858745,被“苏打绿”阿福相中 《超偶》冠军组团出道
n12858752,台铁太鲁阁号出轨案 现场应不只李义祥一人
n12858879,台铁事故 高检署：助家属对李义祥假扣押
n12858892,【疫情更新4.5】美新增病例连续第三周上升
n12859093,俄发明展台排名第二  获35金10银3铜
n12859180,助赈灾！蔡英文捐所得 国民党团捐百万
n12859194,北市声音照相执法首季 裁罚逾19万元
n12859191,台铁总体检报告建议144项  政院：交通部已完成109项
n12859209,辽宁舰南下 中共10军机扰台 运8闯台东南空域
n12859189,监管趋严 上海科创板IPO撤回申请数目破纪录
n12859187,传不满贸协拟裁中国4据点 陆委会：并非事实
n12859185,政府设捐款专户引质疑 台卫福部：出事单位未必能马上赔偿
n12859457,日本外相致电王毅90分钟 罕见批评中共
n12859182,国民党要求台铁改善制度、公司化
n12859088,中共军机扰台东南空域 专家：政治意义大于军事
n12860420,中共势力威胁台湾新闻自由 中华民国政府反击
n12860593,新北海漂猪验出非洲猪瘟 台湾本岛首见
n12860512,美宗教委员会：无惧北京制裁 续为中国人发声
n12860605,林志玲捐400万台币 协助台铁受灾者所需
n12860901,【直播回顾】台运安会公布太鲁阁号事故真相重建
n12861065,辽宁舰在台周边演训 日防卫省：保持重大关注
n12861219,刘冠廷摘“双金”仍对表演焦虑 回植剧场充电
n12859877,一周军情速递：台部署反隐身雷达 五国印度洋军演
n12861244,台铁殉职司机员袁淳修回家了 家属将筹办告别式
n12861217,胡宇威为戏濳水 自曝曾翻船险溺毙
n12861458,林佳龙正式请辞 观光业界齐挽留
n12861465,太鲁阁号第8节车厢 离隧道北口100多公尺
n12861451,花莲县府撑腰东新营造？ 名嘴挨告
n12861447,太鲁阁号事故 金管会：理赔金额估达6.5亿元
n12861460,台立院公决案 要求交通部1个月内提台铁改善计划
n12861443,不能因抗疫成功自满 外媒吁台湾处理隐忧
n12861548,台铁专列送列车驾驶袁淳修遗体回台中
n12861259,台铁事故 工程车滑入轨道1分多钟后火车撞上
n12861544,增两例境外移入 疫苗接种计1万7,245人
n12861534,AZ疫苗引脑部血栓疑虑 英国拟限制接种
n12861530,空军天安特检 除F-5E外其他机种已复飞
n12861517,台积子公司采钰登兴柜 股价破5百元登股王
n12861513,淘帝-KY交不出财报 最快11月恐下市
n12861565,新北惊现非洲猪瘟猪只 周围养猪场检验结果出炉
n12861507,车厂闹晶片荒 台半导体业喊涨
n12861505,疫情催生宅经济 面板产值终结连2年负成长
n12861691,运安会：工程车滑落1分钟后 与太鲁阁号对撞
n12860415,分析：若美中爆冲突 美遭遇芯片荒可能性低
n12861791,台美合作 找到冠状动脉硬化治疗关键
n12861373,中共迫害新疆人权 台立法院推动人权问责法
n12860297,【有冇搞错】中共攻台时间？两年内或永无机会
n12861850,不睬王毅手伸太长论 日政界吁定人权制裁法
n12861038,【疫情4.6】加州计划6月全面重新开放经济
n12861983,印度高调悼念台湾车祸 印媒助威 中共跳脚
n12861511,中共讯息战聚焦美国 智库：转移侵犯人权问题
n12861979,王友群：中共为什么念念不忘“统一台湾”？
n12861961,【役情最前线】只用台湾防疫物资 所罗门省长拒中共行贿
n12862759,台湾本岛首例非洲猪瘟海漂猪 研判来自大陆
n12863011,台铁发生重大事故 中共派军机连日扰台
n12863344,拍影片怕冷场 刘若英找玛莎伴游台南
n12863418,太鲁阁号出轨事故 蔡英文提改革台铁三大方向
n12863572,太鲁阁号事故 台铁公司化拟朝7大方向着手
n12863735,台铁太鲁阁号事故车头 6日深夜拖出清水隧道
n12863744,S.H.E将满20周年 田馥甄谈庆祝：每一天都很重要
n12863754,峮峮工作满档 用餐后倒头就睡
n12862996,脸书个资外泄 涉73万台人3百万港人7百万澳人
n12863970,林佳龙赴立院报告太鲁阁事故 再次哽咽致歉
n12863968,太鲁阁号事故 台卫福部专户捐款逾4亿
n12863966,两外银看好台湾今年GDP成长
n12863963,台铁公司化？林佳龙喊话一起形成改革方案
n12862833,【唐浩视界】战狼狂哮惹众怒 中共气数将尽？
n12864036,抗衡中共 美日拟推印太版“一带一路”
n12864152,滥用药物 39岁以下族群逾9成
n12864147,台铁太鲁阁号事故 杨宏智：工地有好几台怪手
n12864114,中火燃气机组 曾文生：都审超过9个月未过
n12864112,翁茂钟案再增涉案 前法部长曾勇夫也上榜
n12864124,TVBS民调：逾8成台湾人不愿打中国疫苗
n12864021,中共无人机扰东沙岛 台湾：若入禁区该打就打
n12864301,台农发公司亏损 3年逾1.3亿
n12864331,台海局势升级 美驱逐舰通过台湾海峡
n12863548,【疫情4.7】密苏里州长：永不推行疫苗护照
n12864038,美共和党议员吁台湾华语教育取代孔子学院
n12864525,中共狂拨16电话施压 帕劳总统：再不接了
n12864599,台宣布军演 吴钊燮：若中共来袭将奋战到底
n12864825,美国和台湾专家警告：中共加快攻台步伐
n12865261,【时事纵横】战狼土耳其遭轰 台湾：来袭就开火
n12864040,台民团报告：多国以疫情为由扩大攻击人权
n12865517,中共频频侵扰台湾和菲律宾 美国务院回应
n12865847,悼念太鲁阁号事故 台铁列车9时28分同步鸣笛5秒
n12865775,吉卜力音乐会将访台 演绎宫崎骏历年动漫主题曲
n12865772,共机共舰扰台 吴钊燮：台人要有保卫国家决心
n12866154,苏晏霈庆生豪饮燕窝 预告今年可能闪婚
n12866134,向心夫妇涉洗钱遭起诉 违台湾国安法案续侦办
n12866164,美国对北京恐吓台湾表达“极大关切”
n12866465,太鲁阁号事故 运安会取得2晶片提到工程车滑落
n12866540,欧盟认AZ疫苗血栓副作用 台卫福部决议续接种
n12866430,中共对台灰色威胁升高 台湾为何能保持乐观
n12866710,台太鲁阁号理赔估7.8亿  创陆上事故新高
n12866614,“婆婆”钟欣凌再当妹妹 24年来4度演同角色
n12866598,执著感情最难戒 Lara梁心颐：要勇敢放手
n12866764,台运安会：怪手操作不当致工程车滑落
n12866754,非邦交国提案挺台入WHA？外交部：努力方向
n12866847,中部限水加严？台经长：供5停2是最大管制
n12866844,欧盟列血栓为AZ副作用 指挥中心：照常接种
n12866909,国际原物料上扬恐致通膨？主计总处：可观察第3季
n12867029,建商担忧打房新制 北台Q1推案量年减16%
n12867025,TBC交易案 金管会：配合NCC查金流
n12867021,台湾或列汇率操纵国 智库吁改善超额储蓄
n12867124,向心案掀国安漏洞 陆委会：强化《反渗透法》
n12867119,共军扰台升温 吴钊燮：国人要有保卫国家决心
n12867289,受邀国际右派组织演讲 江启臣：“台湾经验”是华人世界典范
n12866839,中华文化在台湾 台立委：应推华语学习中心
n12867328,卫健委通知有猫腻？知情人揭中共疫苗秘密
n12865699,【拍案惊奇】台铁出轨疑点 美航母现身山东号缩头
n12867473,中共若武力犯台 专家：美日两国将驰援台湾
n12868284,美国安会：与民主盟友合作拓展台湾国际空间
n12868328,中共战狼外交反助台湾 挺台渐成美欧新共识
n12868503,美日印太版“一带一路”  分析：完善印太战略抗共
n12868781,林依晨写长文“我不卑微 他也不渣”反击传闻
n12869179,台资深媒体人陈雅琳 将任华视新闻台长
n12869341,东新负责人400万交保 台铁花莲段4人遭约谈
n12869071,林心如配戴上亿珠宝 4岁女儿爱卡通塑胶项链
n12869204,向心夫妇涉洗钱遭起诉后 被台湾再限境8个月
n12867846,【新闻看点】弗洛伊德案反转？台朝野誓死抗共
n12870263,美国务院发布对台新指南 鼓励政府与台接触
n12870277,重启“双橡园”美放松与台官员会面限制
n12870669,白宫将召开半导体与供应链会议 台积电受邀
n12870741,美议员促拜登 以台湾替代孔子学院教学项目
n12870582,揭密中共高超音速导弹钻美漏洞 获关键芯片
n12871386,专家：区域研究助台湾增国际知名度 应重视
n12871560,美专家：社交平台有沦为中共第五纵队同谋之虞
n12871790,【新闻看点】美对台新规踩红线 中共诡异没声
n12871943,要挟台盟友与台断交 中共疫苗外交踩美后院受挫
n12872074,吁勿贴原住民标签 “动力火车”自揭曾遭歧视
n12847306,分析：遏制中共入侵 美可在台湾设“绊索”
n12872163,周华健开唱合体齐豫 带领歌迷重温武侠经典
n12872308,【疫情4.11】死亡率锐减 英国下周大解封
n12872583,自强号中坜站冒烟 台铁作出回应
n12872745,中共频繁扰台 布林肯警告：若动武将铸大错
n12872427,台湾科技园区 成美中台科技交锋战线
n12872914,【役情最前线】美重启原中华民国大使官邸活动
n12873570,美舰长翘脚监看辽宁舰 学者：美对中认知作战
n12873784,75%收敛度瓜子脸最受青睐 医师：有自信才是美
n12874098,百老汇音乐剧《猫》开先例 7月唱进台湾东部
n12874106,LINE大当机 讯息无法传送
n12874093,捡到野生鸟宝宝 救助落巢幼雏鸟这样做
n12873669,日防相与美印太司令会谈 确认台海和平重要性
n12873816,蓬佩奥吃凤梨干挺台 外交部证实访台概率高
n12873707,专家：台海若冲突 台湾更需要美国分享情搜
n12874302,金秀贤宋仲基、金素妍申惠善角逐《百想》帝后
n12874675,台股成交史上第4高 逾5300亿元
n12874651,蓬佩奥秀台湾凤梨干 今年访台机会大
n12874762,货轮行经公海1船员暴毙 停靠台中港我助相验
n12874797,美丽华高球场假并购真解雇公会
n12874769,制造业用电明显成长 台综院：Q1经济成长率上看5.9%
n12874800,违法兼工地主任 立委讽：都是模范企业
n12874771,防堵非洲猪瘟 农委会：清查养猪场均安全　
n12874777,台艺才班班级人数 110学年起逐年调降
n12874783,立委考察台铁边坡 祁文中：全面盘点
n12874317,认与谢欣颖交往 王柏杰：两人的个性很像
n12874129,建议远离渣男 方志友：爱自己不要委屈自己
n12874747,阿里被中共罚巨款还感恩 外媒震惊后叹奇葩
n12874987,中苗供4停3？ 王美花：目前未规划
n12874992,太鲁阁号事故捐款 15日零时停止捐款
n12874994,营建署开发自动勾稽系统补漏 揪违法兼任工地主任
n12874990,台政院速提版本 盼本会期通过“跟骚法”
n12875065,太鲁阁号事故善款运用7方向出炉
n12875081,中共空军25架军机扰台 最大规模入侵事件
n12875222,美军心理战奏效 这照片刺激了胡锡进和央视
n12875243,南中国海火药味浓 美中各亮航母
n12875608,消息：阿拉斯加闭门会谈 中共给美透露底线
n12875683,【远见快评】美台新规解析 辽宁号泄底网络哗然
n12875748,【时事纵横】中共红线被踩爆 蓬佩奥年内访台？
n12876002,【直播回顾】台海军万吨两栖船坞运输舰玉山舰下水
n12875450,中共升高武力犯台 专家：内斗压力濒临界点
n12876095,F-5E飞官罗尚桦公祭 蔡英文亲临颁褒扬令
n12876096,共机扰台架数创新高 美国务院吁停止施压台湾
n12876163,60岁赵传现踪台师大攻读硕士 好学精神获赞
n12876255,白宫晶片峰会 台积电董座：美国新厂会成功
n12875771,【秦鹏直播】美芯片峰会独缺中企 加速脱钩？
n12876192,美军近距监测辽宁舰 专家：美掌握共军弱点
n12876364,首艘万吨两栖运输舰下水 蔡英文：国舰国造里程碑
n12876509,李翊君弃高跟鞋忍脚伤唱跳 自嘲原形毕露
n12876632,萧煌奇与茄子蛋合作 歌王客串按摩师频抢戏
n12877092,谢金河：台湾IC设计陷入地缘政治漩涡
n12877086,白宫晶片峰会 刘德音：美国新厂有信心成功
n12877057,日本政府拍板福岛核废水排入海
n12877055,日本核废水拟排入海 台原能会要求扩大量测
n12876927,50岁明金城花上百万求子 做10次试管仍努力中
n12876916,刘品言曝身边有追求者 妈妈急抱孙
n12877253,劳资争议处理法3读通过 强化工会力量
n12877248,边境检验包装违规 阿发师芋头瘦肉粥被退运
n12877238,台公督盟评鉴 国会42人获评优秀立委
n12877236,台风舒力基最快今形成 气象局：降雨可能更少
n12877234,销售不佳 华航取消4/17帛琉航班
n12877214,藻礁受损审查案喊卡 环团呛中油心虚
n12877227,劳保条例三读 劳保给付专户免遭强制执行
n12877224,公教年改 教团吁先通过补偿金修法
n12877222,疾管署推爱滋预防性投药计划 放宽35岁以下
n12877151,反禁蒙面法 黄之锋再添4月刑期
n12877217,提升医疗服务品质 民团吁健保会纳入劳工代表
n12876984,美议员：疫情让美国“开了眼” 中共是鳄鱼
n12877533,美放宽对台交往限制 赵立坚气得跳脚
n12875659,【疫情4.13】欧洲染疫死亡人数破百万大关
n12877668,中共公报藏线索 美专家解读习近平不自信
n12878434,拜登派挚友率团访台 让气候特使克里访上海
n12878471,共机频扰台 欧盟吁中共避免加剧紧张情势
n12878571,印第安纳州议会通过决议 支持台美洽签BTA
n12878433,郑容和正式进军华语乐坛 重制与林俊杰合作曲
n12878846,轻台舒力基形成 台气象专家作出说明
n12878943,【直播回顾】拜登挚友率团访台 成员包括前副国务卿
n12879161,【快讯】拜登挚友陶德率团访台 专机抵台
n12879233,新伤加旧伤复发 范逸臣决定退出《全明星2》
n12879319,胡瓜萌念退休 跟节目递辞呈“最快年底交棒”
n12879301,黄澎孝：中共航母缺太空优势只是海上标靶
n12879724,台自费施打疫苗21日开放预约 免收疫苗成本
n12879772,华视拟仿韩国公媒模式？ 李永得：可以参考
n12879456,吕雪凤首演舞台剧《用九》 阿庞癌愈胖12公斤
n12879695,指嘉里大荣染红 台民团吁排除参与疫苗运送
n12879348,徐若瑄栽培5岁儿念双语 为工作分隔1个多月
n12879716,中部限水供5停2 王美花：初步有成果
n12879578,长赐轮遭扣 长荣：助船东并研拟船货分开处理
n12879802,菅义伟访白宫在即 美敦促日发联合声明挺台
n12879847,华视驻52台 李永得：不补助纯商业电视台
n12879337,毕书尽当讲师分享历程：比唱小巨蛋还紧张
n12879882,拜登派友访台 中共跳脚 突宣布实弹演习
n12879227,【疫情4.14】研究：巴西变种或生更危险突变
n12880080,美祭制裁后 台积电和世芯断供天津飞腾
n12879721,港大纪元印刷厂遭砸 台朝野立委质疑中共授意
n12879729,大陆籍渔船伪装闯关 台澎湖检警查获毒品
n12880515,【远见快评】中共军方疫苗泄底 拜登台海踩平衡？
n12880611,【秦鹏直播】拜登罕见派密友访台 中共气炸军演
n12877629,【军事热点】美国警告中共 攻台将是严重错误
n12880557,【新闻看点】拜登被迫上架？美称中共威胁空前
n12880974,陶德访台中共军演挑衅 美：持续深化与台关系
n12881104,上班一个月蹲厕所50小时 台男被扣薪气炸
n12880965,共机共舰频扰台 蔡英文：愿与美阻止挑衅行为
n12881105,台研发下一代战机 中科院：第一阶段进度超前
n12881115,台太鲁阁号罹难者修复任务 76行者宣告完成
n12881361,台铁太鲁阁号罹难者全数修复完成
n12881464,苏贞昌14日批准林佳龙辞呈 20日生效
n12881643,分析：美日首脑峰会将对区域稳定传讯息
n12881739,因合约误会 Faye与恩师陈建宁互告 结果出炉
n12881864,阅读障碍、听力受损 坣娜为开唱苦背歌词
n12881863,《天桥上的魔术师》盗版猖獗 公视拟提告护权
n12881892,请辞获准20日生效 林佳龙：感谢院长成全
n12881884,太鲁阁事家属 法扶会将提供法律协助
n12881907,保半导体领先 台政院：从三者突围
n12882067,舒立基直接侵台概率低 本周末将明显转干
n12881989,台湾本岛首例牛结节疹 病毒与大陆一样
n12882330,台本岛首例牛结节疹！病毒与陆相同
n12880284,“4·25”走入法轮功修炼的人权律师
n12882631,美访问团同赴两岸 学者称拜登寻求“新常态”
n12883116,赵立坚贬蔡英文为地方官 学者：凸显中共虚弱
n12883501,中共灰色地带冲突成常态 专家：钻法律漏洞
n12882406,结束访问行程 陶德专机中午离台
n12883930,王定宇台南2服务处遭泼红漆 警方锁定涉案男子
n12883466,陶德与台立委会谈 关心国民党对九二共识看法
n12883893,“为地球声援”吴青峰用鸟叫、水声谱曲
n12884143,严爵无预警晒婚照 上月14日秘娶圈外女友
n12884053,台湾男子的名字很奇特 念出来被警察包围
n12884147,蔡英文：假讯息意图撕裂台湾 全民提防认知作战
n12884294,范逸臣因伤退出《全明星》 体育系郭彦均递补
n12884272,中共实弹军演之际 台湾三军举行联合作战训练
n12884214,刘嘉玲演绎霸气堡主 一件戏服造价破百万
n12884229,何孟远、采子因丑闻退《全明星2》 同队鼓鼓避谈
n12884334,台湾零食成为幸运物 “乖乖”文化登上BBC
n12884620,拜登挚友率团访台湾 台外交部：达丰硕成果
n12884746,侦办太鲁阁事故获肯定 花检长俞秀端调派彰检
n12884741,台湾文博会登场 李永得盼今年产值破10亿
n12884739,LINE Bank纯网银 将公开服务亮点
n12884737,服务处遭泼漆 王定宇：刻意炒作不可取
n12884806,AZ疫苗施打人数破三万 自费下周开放预约
n12884804,观光解封 北市35家业者取得安全旅游戳记
n12884781,桃园全日减压供水 新竹高雄不亮红灯
n12884735,欧洲商会薪资调查 供应链管理人才夯
n12884660,李勘：两岸论述转变歪风 始于邱毅
n12884690,卫福部：太鲁阁号善款专款专用
n12884931,台湾首现牛结节疹 无发现新可疑案例
n12884832,美专家： 中共利用政治打看不见的对台战争
n12884783,台湾“乖乖”登上国际 科技产品当幸运物
n12884925,港大纪元印刷厂遭砸 台立委：突显中共真面目
n12884928,不存幻想 台学者：盼国民党重拾反共大旗
n12885631,助产业升级 侨委会链接台商与研发机构合作
n12885679,【远见快评】美日峰会台海变局？日本隐藏军力
n12885908,预估舒力基18日将增强为强台 台气象专家作出说明
n12885495,美日峰会聚焦抗共 联合声明重申台海稳定
n12885966,放宽对台交往 美亚太副助卿：跨出一大步
n12885988,香港民主派人士遭判刑 欧盟：影响欧中关系
n12886399,台风舒力基转为强台 台湾民众到海边活动要小心
n12886227,香港民主派9人遭判刑 台湾朝野严厉谴责
n12885801,【唐浩视界】重判黎智英祭旗 中共启动香港文革
n12886652,美阿富汗撤兵 专家：重点对抗中共
n12885152,【时事军事】美军远征打击群 可替中共收场
n12887338,台F-5E飞官潘颖谆遗体 屏东南仁渔港寻获
n12887558,研究：东亚人或源自台湾 可追溯至5000年前
n12887611,强台舒力基何时最强、台湾有明显降雨？专家说明
n12887837,林志颖成建设公司董事 首次参与建案动土
n12887760,【疫情4.18】八万人染疫亡 德国举国悼念
n12887909,黄秋生又来台接受隔离 申请就业金卡已获准
n12888159,台湾占据日本报纸头条 日学者：从没看过
n12888232,花莲地震3分钟连2起 最大规模6.2
n12888288,要钱还是要命？中共推疫苗护照 外商陷两难
n12888018,拜登挚友陶德访团来台 专家：布局全球抗共
n12888310,太鲁阁号事故地点通车 林佳龙搭首班列车
n12889258,李玖哲连开2场华山个唱 好友齐助攻
n12889269,组图：台湾故宫“画琳琅—货郎图”特展
n12889626,歌坛新人陈佩贤新曲搭剧 发现“主角都是偶像”
n12889828,京站大楼火警 北市警消驰援
n12889885,台剧《火神的眼泪》5月上档 片头曲今释出
n12889945,京站大楼火警已灭 无伤亡
n12889789,男求偿近2千万判赔1万多元 法院：损害赔偿不是中乐透
n12890124,接任台湾交通部长 王国材：台铁改革优先
n12889939,盖瑞欧德曼新片揭医药犯罪系统 自荐当监制　
n12889946,澎恰恰欠2亿债 吴申梅愿借钱度难关
n12889899,台老兵：两度亲睹先总统蒋中正风采
n12890321,有子女已婚女性薪资停滞 平均薪资3万4
n12890186,哪天台湾各地有望降雨？气象局预报员作出说明
n12890318,争取美AGM-158 台国防部：沟通管道无碍
n12890312,入学人数递减 台教长：私高教面临五大问题
n12890309,洗衣胶囊警语标示逾半数违规
n12890408,清水隧道东正线恢复通车 林佳龙亲自搭乘
n12890404,立委批日核废水食品限量 农委会：尚未拍板
n12890396,美日声明 学者分析：为“台海有事”做出准备
n12890392,打房无效？台央行不排除三度出手
n12890479,数十万移工走地下汇兑 学者：宜适度开放
n12890289,增3例境外移入 AZ疫苗施打逾3.2万
n12890298,少子女化 总统盼更多年轻医师投入儿童医疗
n12890296,防卫后备动员署 国防部：整合各部会协助民间动员
n12890294,联合大地6件工程已复工 立委批台铁造假文化
n12890291,高雄山区降雨助益不大 德基蓄水估仅剩14天
n12890660,郭婞淳亚锦赛举重摘3金 奥运门票到手
n12890476,美派陶德来台 学者：展示抗共决心
n12890400,美日法5月联合军演 印太已成国际关注焦点
n12890843,对抗中共施压 台湾向美购远程巡航导弹
n12891167,美日重视台湾 安倍：对印太和平稳定颇具意义
n12891784,林荣基遭泼漆案二审 3嫌各判6至8月徒刑
n12891728,美议员提案挺台国际参与 指联大决议不涉台湾
n12891953,美国CIA预测世界各国生育率 台湾倒数第一
n12892154,反制中共威胁 台国安局将成立大数据资料库
n12892202,台湾增两例确诊 感染源调查中 已掌握逾百接触者
n12892279,台湾增两感染源待厘清确诊者 有进社区吗？
n12892392,2名货机机师感染源疑云 庄人祥说明3种可能性
n12892336,【疫情4.20】世卫：全球上周新增病例创纪录
n12892876,皮鞋防滑系数6成3未达标准
n12892872,舒力基周四最近台湾 周日全台有雨
n12892865,贝里斯大使履新 蔡英文盼深化双方合作
n12892863,国民党团拒出席 朝野协商修宪委员会卡关
n12892929,南亚科新北设10奈米半导体厂 创就业机会
n12892529,吴宗宪植牙脸肿瘀青 Sandy：不配合医师养病
n12892507,毕书尽重启攻蛋 叹一年多无法探望病母
n12892927,出国意愿低 调查：逾6成民众欲国内旅游
n12892919,台积电股价一度破600元 市值缩水逾2千亿
n12892917,新台币创24年新高
n12892915,虚拟货币波动剧烈 金管会示警3风险
n12892781,台湾国际团结法案 澄清联大2758决议不涉台
n12892740,自强号再故障 台铁：已列优先汰换车辆
n12892985,中共疫苗外交挖台邦交
n12892518,看演艺圈感情风波 Selina挑对象首重人品
n12892990,欧盟“印太合作战略”未提台湾
n12892251,新闻自由指数 台湾名列43 大陆倒数第四
n12893071,增2例国籍航空机师确诊 感染源仍待厘清
n12893113,强力执行防疫违规案 士林分署查封出境义务人房屋
n12893224,美日联合挺台 战狼没狂吠 日媒析其算盘
n12892786,【唐浩视界】隐忍50年 日本为何挺台叫板中共？
n12893141,25架共机扰台之际 美F-16挂实弹在南海现身
n12893810,大批被逐外媒记者转赴台湾 中共被斥自砸脚
n12894455,欧盟驻台代表：印太战略与台合作机会处处皆是
n12894233,中共派遣九架军机扰台 遭台空军广播驱离
n12894691,《植剧场》2代星出炉 8位新星各展奇招获青睐
n12894803,台出现感染源待厘清确诊者 部分接触者采检出炉
n12894951,泳客满身油渍疑船只排污 海保署：调阅影像缉凶
n12894878,台外交官：美台需防中共取得太平洋战略优势
n12895001,吴慷仁急诊住院 邵雨薇甜蜜陪伴报平安
n12895176,赶拍片又写歌徐若瑄忙翻 母亲节盼收手写卡片
n12894972,【疫情4.21】前印度总理接种后仍染疫
n12895325,台风舒力基明天最接近台湾 今晚起部分地区降雨
n12895237,巴拉圭获印度疫苗 阿布铎：拒中共外交勒索
n12895504,监测日本核废水 原能会：氚侦测技术开发中
n12895412,蓝青智库街访 青年关注三大国安议题
n12895408,花旗转介台高资产客户至星港？金管会：将严防
n12895590,中经院：台湾经济景气呈“内热外温”
n12895585,职涯起点 台成清交毕业生3成选小公司
n12895582,避免伤亡重演 立委吁台铁设异物监测系统
n12895579,媒体记者压力大 记协盼建立守望机制
n12895577,鸿海缩减威州投资 赋税优惠降至8千万美元
n12895575,公幼托23万名额 4月底招生开跑
n12895498,Janet任爱心鲜奶大使 持续为公益发声
n12895599,抱358万现金给假检警 NCC副主委翁柏宗被诈骗
n12895950,中共百年新谎言 习近平为何篡改党史
n12896180,美新印太司令被确认 曾忧中共侵台迫在眉睫
n12894968,收到地震国家级警报5关键 不再当国家级边缘人
n12896920,因应中共渗透和影响 捷克智库将落脚台湾
n12896885,海上军力擂台越筑越高 台获美日等国鼎力支持
n12897280,美日峰会背后 专家：扼制中俄冒进
n12897479,模拟共军犯台 国军汉光兵推23日登场8天7夜
n12897542,地球日 专家：以绿色交通带动城市数位转型
n12897964,台3月季调降后失业率3.72%
